Time pi (hours),midges,log10 mean titre,lower,upper,Detection rate
1,20,3.1,2.5,3.5,1
2,20,2.9,2.5,3.5,1
4,62,3,1.5,3.5,1
8,67,2.8,1.5,3.5,1
12,63,2,1.5,2.8,1
16,66,2.8,1.5,3.3,1
20,68,2.9,1,3,1
24,59,1.3,0.75,2.7,1
28,87,1.8,0.75,4.5,0.793
32,76,2.7,1,3.7,0.395
48,71,2.7,0.75,3.7,0.408
72,98,3.3,0.75,4.7,0.265
96,81,3.3,0.75,5,0.333
120,74,3.4,0.75,4.5,0.311
144,60,3.5,0.75,5,0.317
168,157,3.3,0.75,4.5,0.344
192,80,3.1,0.75,5.3,0.388
216,99,3.4,0.75,5,0.364
240,80,3.3,0.75,4.8,0.363
264,95,3.1,0.75,5.3,0.368
288,59,3.1,0.75,5,0.339
336,133,3,0.75,5.5,0.346
