day,titre
-0.092779739437477,3078.73346954919
0.195482771216365,2918.20823764409
0.401254109338853,5548.63358814508
0.561974917813223,2918.20823764409
0.895592353585779,9478.59977652237
1.22920978935833,30787.3346954918
1.91349080725679,16192.0682445937
2.90186290028004,49851.0624458552
3.92554486789237,30787.3346954918
4.86490929014976,52593.2770885966
5.85662973334957,89843.85372349
6.88061609643249,52593.2770885966
7.87233653963229,89843.85372349
8.92584926336296,29182.0823764409
9.91056861073907,170827.639380871
