study,experiment,gap,time,n_plaques,prop_reassortant,titre
samal,10x17,0,15,28,0,2600
samal,10x17,0,7,2,0,20
samal,10x17,0,16,8,0,100
samal,10x17,0,15,33,0.52,3600
samal,10x17,0,10,30,0.33,4000
samal,10x17,0,11,36,0.33,38000
samal,10x17,0,13,14,0.07,300
samal,10x17,0,7,9,0.78,40
samal,10x17,0,15,8,0.75,100
samal,10x17,0,7,32,0.63,17000
samal,10x17,0,13,18,0.11,200
samal,10,0,15,30,0,5000
samal,10,0,15,0,0,15000
samal,10,0,15,24,0,200
samal,17,0,11,21,0,200
el_hussein,10x17,0,7,13,0.846,9500
el_hussein,10x17,0,5,20,0.25,66
el_hussein,10x17,1,10,15,1,2000
el_hussein,10x17,1,7,18,0.556,15000
el_hussein,10x17,1,7,15,0.267,68000
el_hussein,10x17,1,7,20,0.4,280000
el_hussein,10x17,1,7,19,1,71000
el_hussein,10x17,3,7,19,0.737,20000
el_hussein,10x17,3,7,20,0.3,1600
el_hussein,10x17,3,7,20,0.85,64000
el_hussein,10x17,3,7,20,0.95,96000
el_hussein,10x17,5,9,13,0.231,2300
el_hussein,10x17,5,7,19,0.105,40000
el_hussein,10x17,5,7,19,0,110000
el_hussein,10x17,5,11,22,0.591,16000
el_hussein,10x17,5,9,15,0,20
el_hussein,10x17,5,11,17,0,2900
el_hussein,10x17,7,10,17,0,4000
el_hussein,10x17,7,11,1,0,1
el_hussein,10x17,7,11,23,0,4500
el_hussein,10x17,9,11,16,0,8900
el_hussein,10x17,9,11,24,0,6600
el_hussein,10,0,8,19,0,14000
el_hussein,10,0,8,16,0,480
el_hussein,10,0,7,14,0,250
el_hussein,17,0,3,7,0,500
el_hussein,17,0,7,10,0,180
el_hussein,17,0,7,11,0,70000
el_hussein,17,0,10,15,0,540
